,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
115,Big,Mona Lisa,delta,Adam,0.01,0.01,31,0.8399193548387097,0.7870967741935484,0.7709677419354839,143.6,2.09,0.8415317559153176
173,Big,Mona Lisa,alpha,Adam,0.01,0.01,17,0.8302419354838709,0.7677419354838709,0.7677419354838709,76.64,2.05,0.8577877601850205
88,Big,Mona Lisa,delta,Adamax,0.01,0.01,21,0.8286290322580645,0.8064516129032258,0.7645161290322581,96.61,2.1,0.847358121330724
82,Small,Necker cube,delta,SGD,1e-05,1.0000000000000002e-06,78,0.9237903225806452,0.8,0.7645161290322581,357.03,2.16,0.8572318092866038
176,CNN,Necker cube,theta,Adamax,0.001,0.001,35,0.896774193548387,0.7806451612903226,0.7612903225806451,172.46,2.27,0.7874043764454723
22,Big,Necker cube,delta,SGD,0.01,0.01,30,0.8693548387096774,0.8258064516129032,0.7612903225806451,137.71,2.21,0.8611901796833303
108,CNN,Necker cube,theta,Adagrad,0.001,0.001,16,0.8334677419354839,0.7322580645161291,0.7580645161290323,78.6,2.29,0.7850471446361856
126,CNN,Necker cube,alpha,NAdam,0.001,0.0001,24,0.9012096774193548,0.7838709677419354,0.7580645161290323,117.46,2.26,0.7839797189112258
13,Big,Mona Lisa,delta,RMSprop,0.01,0.01,22,0.8044354838709677,0.7451612903225806,0.7548387096774194,100.7,2.11,0.8565201921366306
105,Big,Necker cube,theta,Adam,0.01,0.001,25,0.9076612903225808,0.7838709677419354,0.7516129032258064,120.65,2.17,0.805194805194805
9,CNN,Necker cube,theta,RMSprop,0.001,0.001,11,0.7975806451612903,0.7225806451612903,0.7516129032258064,53.73,2.29,0.7765966909802526
128,Big,Necker cube,theta,NAdam,0.01,0.01,12,0.7721774193548387,0.7645161290322581,0.7516129032258064,57.93,2.18,0.8522060131649172
86,Big,Necker cube,delta,RMSprop,0.01,0.001,27,0.8588709677419355,0.7774193548387097,0.7451612903225806,127.32,2.15,0.8718199608610567
74,CNN,Necker cube,theta,Adam,0.001,0.001,19,0.807258064516129,0.7354838709677419,0.7387096774193549,94.19,2.3,0.7632538694182531
182,Big,Necker cube,theta,Adamax,0.01,0.01,16,0.8520161290322581,0.7774193548387097,0.7322580645161291,76.8,2.19,0.8102206013164917
100,CNN,Mona Lisa,theta,NAdam,0.001,0.0001,26,0.7915322580645161,0.7129032258064516,0.7290322580645161,126.59,2.23,0.7520903753780466
4,CNN,Mona Lisa,theta,RMSprop,0.001,0.001,13,0.8245967741935484,0.7483870967741936,0.7258064516129032,63.37,2.29,0.7509784735812134
45,Big,Necker cube,alpha,Adam,0.01,0.01,19,0.8657258064516129,0.7709677419354839,0.7225806451612903,91.23,2.19,0.8122665006226649
135,Big,Necker cube,alpha,NAdam,0.01,0.01,9,0.8173387096774194,0.7612903225806451,0.7193548387096774,43.71,2.19,0.8307240704500979
198,CNN,Necker cube,delta,NAdam,0.001,1e-05,70,0.8451612903225807,0.7709677419354839,0.7193548387096774,341.41,2.23,0.7435954456502403
19,Big,Necker cube,delta,Adamax,0.01,0.01,10,0.7608870967741935,0.7258064516129032,0.7193548387096774,47.86,2.22,0.8267212239814978
202,CNN,Mona Lisa,delta,RMSprop,0.001,0.0001,35,0.7842741935483871,0.7354838709677419,0.7161290322580646,164.8,2.23,0.739814979541007
120,Small,Mona Lisa,beta,Adadelta,1e-05,1e-05,98,0.8104838709677419,0.6645161290322581,0.6741935483870968,453.25,2.08,0.7837573385518591
52,CNN,Necker cube,delta,Adam,0.001,0.001,19,0.6951612903225807,0.6548387096774193,0.6548387096774193,92.64,2.3,0.675280199252802
99,Small,Mona Lisa,gamma,Adadelta,1e-05,1.0000000000000002e-07,73,0.6987903225806451,0.6774193548387096,0.6225806451612903,341.27,2.09,0.6926703433552749
142,Small,Necker cube,beta,Adadelta,1e-05,1.0000000000000002e-06,78,0.7088709677419355,0.6225806451612903,0.6193548387096774,392.93,2.24,0.7233143568760007
156,Small,Mona Lisa,alpha,Adadelta,1e-05,1.0000000000000002e-06,115,0.7459677419354839,0.6258064516129033,0.5870967741935483,537.45,2.06,0.6871553104429816
138,Small,Mona Lisa,theta,Adadelta,1e-05,1.0000000000000002e-07,78,0.6487903225806452,0.5806451612903226,0.5774193548387097,431.54,2.61,0.610745418964597
90,CNN,Mona Lisa,delta,NAdam,0.001,0.001,9,0.5419354838709678,0.535483870967742,0.5612903225806452,42.62,2.21,0.573652375022238
77,CNN,Necker cube,delta,RMSprop,0.001,0.001,18,0.6649193548387097,0.6258064516129033,0.5580645161290323,87.59,2.26,0.5755648461127912
39,Small,Necker cube,alpha,Adadelta,1e-05,1.0000000000000002e-06,65,0.6508064516129032,0.5967741935483871,0.5451612903225806,314.34,2.22,0.5920209927059242
76,Small,Necker cube,gamma,Adadelta,1e-05,1.0000000000000002e-06,27,0.5661290322580645,0.4967741935483871,0.535483870967742,131.01,2.16,0.5761430350471446
157,Small,Necker cube,theta,Adadelta,1e-05,1.0000000000000002e-07,18,0.494758064516129,0.4903225806451612,0.5032258064516129,87.84,2.17,0.4931506849315068
158,Small,Mona Lisa,delta,Adadelta,1e-05,1.0000000000000004e-08,26,0.5209677419354839,0.5645161290322581,0.4935483870967742,121.16,2.09,0.5168564312399929
203,Small,Necker cube,delta,Adadelta,1e-05,1e-05,4,0.4794354838709677,0.5129032258064516,0.4612903225806452,19.61,2.15,0.4525885073830279
