,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
148,Big,Necker cube,gamma,Adadelta,0.01,0.01,91,0.967741935483871,0.896774193548387,0.896774193548387,444.48,2.16,0.9754492083259206
200,Small,Mona Lisa,theta,Adamax,1e-05,1.0000000000000002e-06,41,0.9657258064516128,0.8580645161290322,0.896774193548387,194.11,2.16,0.960772104607721
118,Small,Necker cube,delta,RMSprop,1e-05,1.0000000000000002e-06,50,0.9564516129032258,0.8741935483870967,0.896774193548387,234.71,2.16,0.9703344600604876
187,Small,Mona Lisa,theta,Adam,1e-05,1.0000000000000002e-06,41,0.9616935483870968,0.8580645161290322,0.8935483870967742,194.89,2.17,0.9713129336417008
79,Big,Necker cube,beta,Adagrad,0.01,0.01,17,0.9423387096774194,0.8870967741935484,0.8935483870967742,80.14,2.16,0.9600604874577476
146,Small,Necker cube,gamma,RMSprop,1e-05,1.0000000000000002e-06,47,0.9487903225806452,0.8806451612903226,0.8935483870967742,222.16,2.22,0.9614837217576944
33,Small,Mona Lisa,theta,NAdam,1e-05,1e-05,24,0.9536290322580644,0.8516129032258064,0.8935483870967742,114.91,2.16,0.9677993239637076
66,CNN,Necker cube,beta,SGD,0.001,0.001,29,0.9596774193548387,0.8774193548387097,0.8903225806451613,139.43,2.21,0.9195872620530154
16,CNN,Necker cube,beta,RMSprop,0.001,0.001,16,0.9661290322580646,0.8774193548387097,0.8903225806451613,77.0,2.16,0.9197651663405088
12,Small,Mona Lisa,alpha,NAdam,1e-05,1.0000000000000002e-06,41,0.966532258064516,0.8935483870967742,0.8870967741935484,190.85,2.13,0.9644636185732076
150,Small,Necker cube,delta,NAdam,1e-05,1.0000000000000002e-07,78,0.9560483870967742,0.8838709677419355,0.8870967741935484,371.56,2.14,0.975360256182174
197,Small,Mona Lisa,gamma,Adamax,1e-05,1.0000000000000002e-06,24,0.9633064516129032,0.9,0.8870967741935484,110.25,2.09,0.9752713040384272
53,CNN,Necker cube,beta,Adamax,0.001,0.001,6,0.9580645161290322,0.8935483870967742,0.8870967741935484,29.11,2.27,0.9165184130937556
163,Small,Necker cube,delta,Adam,1e-05,1.0000000000000002e-07,58,0.957258064516129,0.8774193548387097,0.8870967741935484,273.84,2.18,0.9741149261697206
141,CNN,Necker cube,beta,Adagrad,0.001,0.001,21,0.967741935483871,0.896774193548387,0.8870967741935484,101.69,2.2,0.9163405088062624
131,Big,Mona Lisa,gamma,Adam,0.01,0.001,24,0.9407258064516127,0.9129032258064516,0.8870967741935484,111.68,2.11,0.9778064401352072
103,Small,Mona Lisa,beta,Adagrad,1e-05,1.0000000000000002e-06,41,0.9669354838709676,0.8870967741935484,0.8870967741935484,185.24,2.11,0.9775840597758406
190,Small,Mona Lisa,delta,RMSprop,1e-05,1.0000000000000002e-06,38,0.9552419354838708,0.9032258064516128,0.8870967741935484,174.05,2.1,0.9764276819071338
70,Small,Mona Lisa,alpha,Adam,1e-05,1.0000000000000002e-07,52,0.966532258064516,0.8903225806451613,0.8838709677419355,236.08,2.05,0.9650862835794344
28,Small,Mona Lisa,gamma,SGD,1e-05,1.0000000000000002e-06,73,0.9629032258064516,0.9,0.8838709677419355,325.58,2.11,0.9672656111012276
106,Small,Mona Lisa,delta,NAdam,1e-05,1.0000000000000002e-07,52,0.9568548387096776,0.896774193548387,0.8838709677419355,241.23,2.11,0.9784735812133072
57,Small,Mona Lisa,alpha,Adamax,1e-05,1.0000000000000002e-07,73,0.9669354838709676,0.896774193548387,0.8838709677419355,331.18,2.09,0.9668208503824942
137,Small,Necker cube,gamma,NAdam,1e-05,1.0000000000000002e-07,47,0.9504032258064516,0.8774193548387097,0.8838709677419355,226.48,2.16,0.9653976160825476
96,Big,Mona Lisa,beta,Adagrad,0.01,0.01,11,0.9318548387096774,0.8774193548387097,0.8806451612903226,49.87,2.12,0.9538783134673546
113,Small,Mona Lisa,alpha,RMSprop,1e-05,1.0000000000000002e-07,41,0.9657258064516128,0.8838709677419355,0.8806451612903226,185.15,2.09,0.9662871375200142
191,Big,Mona Lisa,theta,Adadelta,0.01,0.01,50,0.9568548387096776,0.8774193548387097,0.8806451612903226,238.21,2.11,0.959971535314001
15,Small,Necker cube,gamma,Adamax,1e-05,1.0000000000000002e-07,47,0.960483870967742,0.8903225806451613,0.8806451612903226,222.41,2.15,0.9585483010140544
80,CNN,Necker cube,beta,Adam,0.001,0.001,22,0.9669354838709676,0.8709677419354839,0.8774193548387097,107.26,2.27,0.9066002490660026
204,Big,Mona Lisa,beta,Adamax,0.01,0.01,20,0.9173387096774194,0.8774193548387097,0.8774193548387097,91.27,2.08,0.9618617683686176
5,Big,Necker cube,beta,SGD,0.01,0.01,21,0.9431451612903226,0.8870967741935484,0.8774193548387097,98.29,2.16,0.941113680839708
193,Big,Necker cube,beta,Adamax,0.01,0.01,17,0.9193548387096774,0.867741935483871,0.8774193548387097,81.2,2.15,0.9437377690802348
17,Small,Necker cube,alpha,RMSprop,1e-05,1.0000000000000004e-08,78,0.9625,0.8806451612903226,0.8774193548387097,368.24,2.19,0.9586372531578012
170,CNN,Necker cube,beta,NAdam,0.001,0.001,9,0.9633064516129032,0.8935483870967742,0.8774193548387097,43.97,2.25,0.9066002490660026
35,Small,Mona Lisa,gamma,Adagrad,1e-05,1.0000000000000002e-06,31,0.9653225806451612,0.9064516129032258,0.8774193548387097,141.11,2.09,0.9643301903575876
195,Big,Mona Lisa,gamma,Adagrad,0.01,0.001,27,0.9552419354838708,0.9064516129032258,0.8774193548387097,123.99,2.11,0.9488080412737946
178,Big,Necker cube,theta,Adadelta,0.01,0.01,58,0.9556451612903226,0.867741935483871,0.8774193548387097,285.56,2.17,0.9547678349048212
174,Big,Mona Lisa,gamma,NAdam,0.01,0.01,16,0.9314516129032258,0.8935483870967742,0.8774193548387097,74.68,2.11,0.944849670877068
0,Big,Mona Lisa,gamma,RMSprop,0.01,0.001,33,0.9411290322580644,0.8870967741935484,0.8774193548387097,150.78,2.1,0.9362657890055148
179,Small,Necker cube,theta,NAdam,1e-05,1.0000000000000004e-08,78,0.9629032258064516,0.8903225806451613,0.8741935483870967,377.89,2.17,0.9673545632449744
