Model,Accuracy,Precision,Recall,F1-Score,Specificity,Sensitivity,Cohen_Kappa,ROC_AUC,Training_Time,Most_Efficient_Class,signal_fiq,dataset,PreProcesstime
Naive Bayes,0.5450643776824035,0.5555555555555556,0.6198347107438017,0.5859375,0.4642857142857143,0.6198347107438017,0.08451330713915028,0.5491440377804013,0.6460955142974854,right hemiparesis,alpha,Necker cube,47.64714217185974
Deep Learning (Neural Network),0.6866952789699571,0.6935483870967742,0.7107438016528925,0.7020408163265306,0.6607142857142857,0.7107438016528925,0.37182848912361044,0.7562352420306966,307.1944217681885,right hemiparesis,alpha,Necker cube,47.64714217185974
Random Forest,0.8068669527896996,0.8725490196078431,0.7355371900826446,0.7982062780269059,0.8839285714285714,0.7355371900826446,0.6155820348304308,0.9077995867768595,3.0884768962860107,left hemiparesis,beta,Necker cube,47.65281915664673
SVM (RBF),0.9098712446351931,0.923728813559322,0.9008264462809917,0.9121338912133891,0.9196428571428571,0.9008264462809917,0.8196527956949615,0.9732880755608028,51.89745330810547,right hemiparesis,beta,Necker cube,47.65281915664673
SVM (Linear),0.9098712446351931,0.9032258064516129,0.9256198347107438,0.9142857142857143,0.8928571428571429,0.9256198347107438,0.8192931270081619,0.9346221959858323,27.022711753845215,right hemiparesis,beta,Necker cube,47.65281915664673
Logistic Regression,0.9098712446351931,0.9032258064516129,0.9256198347107438,0.9142857142857143,0.8928571428571429,0.9256198347107438,0.8192931270081619,0.9428128689492327,2.637178421020508,right hemiparesis,beta,Necker cube,47.65281915664673
Decision Tree,0.6008583690987125,0.625,0.5785123966942148,0.6008583690987125,0.625,0.5785123966942148,0.20290601434614675,0.6017561983471074,14.07149600982666,right hemiparesis,beta,Necker cube,47.65281915664673
KNN,0.8369098712446352,0.8120300751879699,0.8925619834710744,0.8503937007874016,0.7767857142857143,0.8925619834710744,0.6720254852570751,0.8945543093270366,0.6354818344116211,right hemiparesis,beta,Necker cube,47.65281915664673
Naive Bayes,0.6781115879828327,0.6493506493506493,0.8264462809917356,0.7272727272727273,0.5178571428571429,0.8264462809917356,0.34811802887305554,0.6889389020070837,0.6429955959320068,right hemiparesis,beta,Necker cube,47.65281915664673
Deep Learning (Neural Network),0.8454935622317596,0.9207920792079208,0.768595041322314,0.8378378378378378,0.9285714285714286,0.768595041322314,0.6925670722767923,0.9018226092089727,305.49468874931335,left hemiparesis,beta,Necker cube,47.65281915664673
Random Forest,0.8412017167381974,0.8559322033898306,0.8347107438016529,0.8451882845188284,0.8482142857142857,0.8347107438016529,0.6822454019387416,0.939344746162928,3.0087990760803223,right hemiparesis,gamma,Necker cube,48.13519501686096
SVM (RBF),0.8969957081545065,0.888,0.9173553719008265,0.9024390243902439,0.875,0.9173553719008265,0.7934091916654352,0.9780106257378984,48.43987560272217,right hemiparesis,gamma,Necker cube,48.13519501686096
SVM (Linear),0.944206008583691,0.9736842105263158,0.9173553719008265,0.9446808510638298,0.9732142857142857,0.9173553719008265,0.8885044355283984,0.9586038961038961,19.674014568328857,right hemiparesis,gamma,Necker cube,48.13519501686096
Logistic Regression,0.9227467811158798,0.9401709401709402,0.9090909090909091,0.9243697478991597,0.9375,0.9090909090909091,0.8454679439941046,0.956685360094451,2.6655962467193604,right hemiparesis,gamma,Necker cube,48.13519501686096
Decision Tree,0.6781115879828327,0.6885245901639344,0.6942148760330579,0.6913580246913581,0.6607142857142857,0.6942148760330579,0.3550470566525189,0.6774645808736718,11.313951969146729,right hemiparesis,gamma,Necker cube,48.13519501686096
KNN,0.8798283261802575,0.8907563025210085,0.8760330578512396,0.8833333333333333,0.8839285714285714,0.8760330578512396,0.7594572671631885,0.9540289256198348,1.099461555480957,right hemiparesis,gamma,Necker cube,48.13519501686096
Naive Bayes,0.5150214592274678,0.58,0.2396694214876033,0.33918128654970764,0.8125,0.2396694214876033,0.050967811700248666,0.599358028335301,0.6658918857574463,left hemiparesis,gamma,Necker cube,48.13519501686096
Deep Learning (Neural Network),0.9184549356223176,0.9553571428571429,0.8842975206611571,0.9184549356223176,0.9553571428571429,0.8842975206611571,0.8371528416406107,0.95543093270366,220.16726875305176,right hemiparesis,gamma,Necker cube,48.13519501686096
