Model,Dataset,Rhythm,Optimizer,Start LR,Finish LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
Small,Mona Lisa,delta,RMSprop,1e-05,1.0000000000000002e-07,52,0.9580645161290322,0.9032258064516128,0.8838709677419355,250.69,1.76,0.9790072940757872
Small,Mona Lisa,alpha,NAdam,1e-05,1.0000000000000002e-06,52,0.9657258064516128,0.8903225806451613,0.8838709677419355,391.43,2.88,0.964374666429461
Big,Mona Lisa,theta,Adadelta,0.01,0.01,49,0.9596774193548387,0.8903225806451613,0.8838709677419355,271.23,1.64,0.9653086639388008
Big,Mona Lisa,beta,NAdam,0.01,0.001,33,0.9387096774193548,0.8774193548387097,0.8806451612903226,259.72,2.9,0.9510763209393346
Small,Necker cube,gamma,Adamax,1e-05,1.0000000000000002e-07,47,0.9612903225806452,0.8935483870967742,0.8806451612903226,215.42,1.59,0.9581924924390676
CNN,Mona Lisa,beta,NAdam,0.001,0.001,5,0.9673387096774192,0.8709677419354839,0.8806451612903226,31.18,1.67,0.9102028108877426
Big,Mona Lisa,gamma,SGD,0.01,0.0001,41,0.9459677419354838,0.8774193548387097,0.8806451612903226,163.12,1.64,0.9633072407045008
Small,Mona Lisa,delta,Adam,1e-05,1.0000000000000004e-08,52,0.958467741935484,0.896774193548387,0.8774193548387097,265.66,1.75,0.9790072940757872
Small,Mona Lisa,delta,Adamax,1e-05,1.0000000000000002e-06,64,0.9641129032258065,0.9161290322580644,0.8774193548387097,319.73,1.77,0.9705123643479808
CNN,Necker cube,beta,Adadelta,0.001,0.001,32,0.927016129032258,0.9064516129032258,0.8774193548387097,207.87,1.89,0.9069560576409892
Small,Mona Lisa,alpha,Adam,1e-05,1.0000000000000002e-06,41,0.9657258064516128,0.8806451612903226,0.8774193548387097,301.06,2.87,0.9646859989325742
Small,Mona Lisa,gamma,Adagrad,1e-05,1.0000000000000002e-06,31,0.9653225806451612,0.9064516129032258,0.8774193548387097,150.01,1.79,0.9645525707169544
Small,Necker cube,theta,NAdam,1e-05,1e-05,47,0.958467741935484,0.8838709677419355,0.8774193548387097,235.82,1.64,0.9675769436043408
Small,Necker cube,theta,RMSprop,1e-05,1.0000000000000002e-06,78,0.9608870967741936,0.8838709677419355,0.8741935483870967,352.48,1.65,0.9692225582636542
Small,Necker cube,theta,Adam,1e-05,1.0000000000000002e-06,47,0.960483870967742,0.864516129032258,0.8741935483870967,226.02,1.64,0.9651752357231808
Small,Necker cube,alpha,RMSprop,1e-05,1.0000000000000002e-06,47,0.9629032258064516,0.8774193548387097,0.8741935483870967,231.04,1.82,0.9568137342109944
Small,Mona Lisa,beta,SGD,1e-05,1e-05,98,0.967741935483871,0.867741935483871,0.8709677419354839,413.87,1.74,0.9758494929727806
Big,Necker cube,delta,Adadelta,0.01,1e-05,98,0.9548387096774194,0.8709677419354839,0.8709677419354839,553.18,1.69,0.9474292830457214
Big,Mona Lisa,alpha,Adadelta,0.01,0.01,72,0.967741935483871,0.9064516129032258,0.8709677419354839,500.73,2.32,0.952855363814268
Big,Mona Lisa,gamma,NAdam,0.01,0.001,16,0.9294354838709676,0.8838709677419355,0.8709677419354839,82.76,1.64,0.945516811955168
Big,Mona Lisa,beta,SGD,0.01,0.01,11,0.9266129032258064,0.832258064516129,0.8709677419354839,73.24,2.94,0.9525440313111544
Small,Mona Lisa,alpha,RMSprop,1e-05,1e-05,27,0.9633064516129032,0.8838709677419355,0.8709677419354839,191.93,2.88,0.9659758050169008
CNN,Necker cube,beta,Adam,0.001,0.001,22,0.9669354838709676,0.8709677419354839,0.8709677419354839,140.03,1.83,0.8999288382850027
Big,Necker cube,alpha,Adadelta,0.01,0.01,81,0.9649193548387096,0.8806451612903226,0.867741935483871,453.87,1.67,0.950987368795588
CNN,Necker cube,beta,RMSprop,0.001,0.0001,21,0.9657258064516128,0.8838709677419355,0.867741935483871,133.48,1.84,0.8968599893257428
CNN,Necker cube,alpha,Adadelta,0.001,0.001,26,0.9669354838709676,0.864516129032258,0.867741935483871,167.62,1.79,0.8965041807507561
Big,Mona Lisa,gamma,Adamax,0.01,0.01,4,0.8592741935483871,0.8774193548387097,0.867741935483871,19.24,1.63,0.943381960505248
Small,Necker cube,alpha,NAdam,1e-05,1.0000000000000004e-08,78,0.9625,0.8774193548387097,0.867741935483871,423.06,1.8,0.953789361323608
Big,Mona Lisa,delta,Adadelta,0.01,1.0000000000000002e-06,107,0.9588709677419356,0.896774193548387,0.867741935483871,577.36,1.58,0.9438711972958548
CNN,Mona Lisa,gamma,Adadelta,0.001,0.001,39,0.9536290322580644,0.8580645161290322,0.867741935483871,250.12,1.76,0.8959704678882761
CNN,Mona Lisa,delta,Adadelta,0.001,0.0001,54,0.967741935483871,0.9,0.867741935483871,339.62,1.71,0.8972157979007295
Big,Necker cube,gamma,Adamax,0.01,0.001,40,0.9516129032258064,0.8838709677419355,0.864516129032258,199.73,1.71,0.934130937555595
Small,Necker cube,beta,SGD,1e-05,1e-05,78,0.964516129032258,0.864516129032258,0.864516129032258,289.29,1.55,0.9573474470734744
Big,Necker cube,beta,RMSprop,0.01,0.001,25,0.9383064516129032,0.8741935483870967,0.864516129032258,119.14,1.68,0.9562355452766412
Small,Necker cube,delta,Adamax,1e-05,1.0000000000000004e-08,78,0.9616935483870968,0.8709677419354839,0.864516129032258,351.37,1.55,0.959771392990571
Small,Mona Lisa,alpha,Adagrad,1e-05,1.0000000000000002e-07,41,0.9629032258064516,0.8612903225806452,0.8612903225806452,286.16,2.78,0.9360434086461484
CNN,Necker cube,alpha,SGD,0.001,0.001,26,0.9629032258064516,0.8516129032258064,0.8612903225806452,159.21,1.8,0.890722291407223
CNN,Mona Lisa,alpha,SGD,0.001,0.001,14,0.9471774193548388,0.8806451612903226,0.8612903225806452,120.16,2.98,0.889121152819783
Small,Necker cube,alpha,Adam,1e-05,1.0000000000000002e-06,47,0.9616935483870968,0.8806451612903226,0.8612903225806452,243.87,1.8,0.9526774595267744
Big,Mona Lisa,beta,RMSprop,0.01,0.01,9,0.8991935483870968,0.8483870967741935,0.8612903225806452,65.33,2.91,0.9313734210994488
Big,Necker cube,theta,Adadelta,0.01,0.01,41,0.954032258064516,0.8774193548387097,0.8580645161290322,234.14,1.83,0.9300836150151218
Small,Necker cube,alpha,Adamax,1e-05,1e-05,47,0.9657258064516128,0.8709677419354839,0.8580645161290322,238.15,1.79,0.948185376267568
CNN,Mona Lisa,delta,SGD,0.001,0.0001,120,0.9653225806451612,0.8838709677419355,0.8580645161290322,722.36,1.74,0.8867639210104963
Big,Mona Lisa,gamma,RMSprop,0.01,0.01,13,0.9173387096774194,0.8935483870967742,0.8580645161290322,60.1,1.62,0.9349315068493153
CNN,Mona Lisa,alpha,Adadelta,0.001,0.001,21,0.967741935483871,0.8903225806451613,0.8580645161290322,186.31,3.37,0.8856964952855363
CNN,Necker cube,theta,SGD,0.001,0.001,26,0.957258064516129,0.867741935483871,0.8548387096774194,162.04,2.33,0.8836950720512364
CNN,Necker cube,beta,SGD,0.001,0.001,24,0.847983870967742,0.8419354838709677,0.8516129032258064,147.86,1.81,0.8788471802170432
Big,Necker cube,beta,SGD,0.01,0.01,17,0.9278225806451612,0.8741935483870967,0.8516129032258064,70.14,1.68,0.9647082369685108
Small,Necker cube,alpha,SGD,1e-05,1e-05,126,0.9649193548387096,0.864516129032258,0.8516129032258064,544.67,1.79,0.929950186799502
CNN,Mona Lisa,theta,Adagrad,0.001,0.0001,68,0.9548387096774194,0.8290322580645161,0.8483870967741935,421.65,1.74,0.8766678526952499
Big,Necker cube,gamma,RMSprop,0.01,1e-05,39,0.9306451612903226,0.8612903225806452,0.8483870967741935,187.67,1.72,0.925680483899662
CNN,Mona Lisa,gamma,Adagrad,0.001,0.001,14,0.9641129032258065,0.8548387096774194,0.8483870967741935,86.84,1.8,0.87613413983277
CNN,Mona Lisa,delta,Adagrad,0.001,0.001,35,0.9375,0.8483870967741935,0.8483870967741935,213.23,1.71,0.8768457569827431
CNN,Necker cube,theta,Adadelta,0.001,0.001,34,0.9673387096774192,0.8903225806451613,0.8483870967741935,229.24,1.93,0.8770236612702367
Small,Necker cube,gamma,Adagrad,1e-05,1.0000000000000002e-07,47,0.9649193548387096,0.8838709677419355,0.8483870967741935,206.48,1.61,0.930483899661982
CNN,Mona Lisa,gamma,RMSprop,0.001,0.001,17,0.9125,0.8548387096774194,0.8451612903225807,105.66,1.75,0.8725315780110301
Small,Necker cube,theta,Adamax,1e-05,1.0000000000000002e-06,47,0.9637096774193548,0.8838709677419355,0.8451612903225807,218.97,1.62,0.950720512364348
CNN,Mona Lisa,theta,RMSprop,0.001,0.001,27,0.9024193548387096,0.8064516129032258,0.8451612903225807,168.38,1.78,0.8737769080234834
Big,Necker cube,theta,Adagrad,0.01,1e-05,74,0.95,0.8580645161290322,0.8451612903225807,357.94,1.71,0.9215886852873154
