Model,Dataset,Rhythm,Optimizer,Start LR,Finish LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
Big,Necker cube,delta,Adamax,0.01,0.01,15,0.8092741935483871,0.7548387096774194,0.7612903225806451,74.52,1.69,0.8545187689023306
Big,Necker cube,delta,SGD,0.01,0.01,13,0.8262096774193548,0.7677419354838709,0.7612903225806451,54.07,1.7,0.8573652375022238
Big,Necker cube,theta,Adam,0.01,0.001,47,0.9189516129032258,0.8064516129032258,0.7580645161290323,242.88,1.72,0.8704412026329834
Big,Necker cube,delta,NAdam,0.01,0.01,27,0.8338709677419355,0.8064516129032258,0.7580645161290323,145.02,1.69,0.8613236078989505
CNN,Necker cube,theta,Adam,0.001,0.0001,48,0.8520161290322581,0.7387096774193549,0.7451612903225806,308.56,1.87,0.7704589930617328
CNN,Necker cube,delta,Adamax,0.001,0.0001,38,0.894758064516129,0.7774193548387097,0.7419354838709677,241.51,1.83,0.7673901441024729
CNN,Necker cube,delta,SGD,0.001,0.001,21,0.7629032258064516,0.7451612903225806,0.7419354838709677,134.77,1.9,0.7665006226650062
Big,Mona Lisa,alpha,NAdam,0.01,0.01,8,0.8,0.7322580645161291,0.7419354838709677,60.43,2.76,0.8394858566091443
CNN,Mona Lisa,theta,Adam,0.001,0.0001,32,0.8306451612903226,0.7580645161290323,0.7419354838709677,201.11,1.77,0.7659669098025261
CNN,Necker cube,theta,NAdam,0.001,1e-05,95,0.8891129032258065,0.7709677419354839,0.7387096774193549,616.25,1.85,0.763787582280733
Big,Necker cube,alpha,Adam,0.01,0.01,11,0.842741935483871,0.7354838709677419,0.7258064516129032,55.52,1.67,0.8166696317381248
Big,Necker cube,alpha,RMSprop,0.01,0.01,15,0.834274193548387,0.7419354838709677,0.7225806451612903,71.12,1.68,0.7820672478206725
Big,Necker cube,shap,Adadelta,0.01,0.01,89,0.9657258064516128,0.8064516129032258,0.7129032258064516,442.46,1.67,0.8329478740437645
CNN,Mona Lisa,shap,Adamax,0.001,0.001,28,0.8036290322580645,0.7064516129032258,0.6967741935483871,180.0,3.08,0.7214018857854474
CNN,Necker cube,delta,NAdam,0.001,0.0001,76,0.777016129032258,0.7129032258064516,0.6806451612903226,490.47,1.82,0.7035669809642412
Small,Mona Lisa,beta,Adadelta,1e-05,1e-05,98,0.8104838709677419,0.6645161290322581,0.6741935483870968,547.43,1.87,0.7837128624799858
Small,Mona Lisa,gamma,Adadelta,1e-05,1.0000000000000002e-07,73,0.6987903225806451,0.6774193548387096,0.6225806451612903,413.03,1.78,0.6926703433552749
Small,Necker cube,beta,Adadelta,1e-05,1.0000000000000002e-06,78,0.7088709677419355,0.6225806451612903,0.6193548387096774,332.79,1.11,0.7233143568760007
Small,Mona Lisa,alpha,Adadelta,1e-05,1.0000000000000002e-06,115,0.7459677419354839,0.6258064516129033,0.5903225806451613,889.53,2.78,0.6871553104429816
CNN,Necker cube,delta,Adam,0.001,0.001,25,0.7677419354838709,0.7419354838709677,0.5903225806451613,161.14,1.84,0.6094556128802705
Small,Mona Lisa,theta,Adadelta,1e-05,1.0000000000000002e-07,78,0.6487903225806452,0.5806451612903226,0.5774193548387097,443.65,1.78,0.610745418964597
CNN,Necker cube,delta,RMSprop,0.001,0.001,11,0.7036290322580645,0.5967741935483871,0.5645161290322581,69.86,1.85,0.583837395481231
CNN,Mona Lisa,delta,NAdam,0.001,0.001,7,0.569758064516129,0.5548387096774193,0.5580645161290323,43.85,2.04,0.5736078989503648
Small,Necker cube,alpha,Adadelta,1e-05,1.0000000000000002e-06,65,0.6508064516129032,0.5967741935483871,0.5451612903225806,371.32,1.81,0.5920209927059242
Small,Necker cube,gamma,Adadelta,1e-05,1.0000000000000002e-06,27,0.5661290322580645,0.4967741935483871,0.535483870967742,140.65,1.58,0.5761430350471446
CNN,Mona Lisa,delta,RMSprop,0.001,0.001,5,0.5286290322580646,0.5580645161290323,0.535483870967742,31.23,1.72,0.550346913360612
Small,Necker cube,theta,Adadelta,1e-05,1.0000000000000002e-07,18,0.494758064516129,0.4903225806451612,0.5032258064516129,95.13,1.6,0.4931506849315068
Small,Mona Lisa,delta,Adadelta,1e-05,1.0000000000000004e-08,26,0.5209677419354839,0.5645161290322581,0.4935483870967742,145.77,1.76,0.5168564312399929
Small,Necker cube,delta,Adadelta,1e-05,1e-05,4,0.4794354838709677,0.5129032258064516,0.4612903225806452,20.7,1.54,0.4525885073830279
